Charge Code,Alt Code,Description,Category,Sub Category, Unit Charge 
9,XLHC,RADIOGRAPH LEFT HIND CANNON AND SPLINTS,VETERINARY DIAGNOSTIC PROCEDURES RADIOLOGY - HIND LEG,, $60.00 
10,XRHC,RADIOGRAPH RIGHT HIND CANNON AND SPLINTS,VETERINARY DIAGNOSTIC PROCEDURES RADIOLOGY - HIND LEG,, $60.00 
11,XLH,RADIOGRAPH LEFT HOCK,VETERINARY DIAGNOSTIC PROCEDURES RADIOLOGY - HIND LEG,, $75.00 
12,XRH,RADIOGRAPH RIGHT HOCK,VETERINARY DIAGNOSTIC PROCEDURES RADIOLOGY - HIND LEG,, $75.00 
13,XLHA,RADIOGRAPH LEFT HIND FETLOCK,VETERINARY DIAGNOSTIC PROCEDURES RADIOLOGY - HIND LEG,, $75.00 
14,XRHA,RADIOGRAPH RIGHT HIND FETLOCK,VETERINARY DIAGNOSTIC PROCEDURES RADIOLOGY - HIND LEG,, $75.00 
15,XLHP,RADIOGRAPH LEFT HIND FOOT,VETERINARY DIAGNOSTIC PROCEDURES RADIOLOGY - HIND LEG,, $80.00 
16,XRHP,RADIOGRAPH RIGHT HIND FOOT,VETERINARY DIAGNOSTIC PROCEDURES RADIOLOGY - HIND LEG,, $80.00 
17,XLS,RADIOGRAPH LEFT STIFLE,VETERINARY DIAGNOSTIC PROCEDURES RADIOLOGY - HIND LEG,, $75.00 
18,XRS,RADIOGRAPH RIGHT STIFLE,VETERINARY DIAGNOSTIC PROCEDURES RADIOLOGY - HIND LEG,, $75.00 
19,TRYP,TRIPPING SPRAY,VETERINARY OTHER,, $-   
20,X,RADIOGRAPHS- MULTIPLE VIEWS,VETERINARY DIAGNOSTIC PROCEDURES RADIOLOGY - OTHER,, $15.00 
23,SH,EXTRACORPOREAL SHOCK WAVE THERAPY,VETERINARY VET. PROCEDURES & SERVICES OTHER,, $100.00 
38,SHR,EXTRACORPOREAL SHOCK WAVE THERAPY,VETERINARY VET. PROCEDURES & SERVICES OTHER,, $150.00 
40,UOTHER,ULTRASOUND EXAM ON LEG,VETERINARY DIAGNOSTIC PROCEDURES ULTRASOUND EXAM OF EXTREMITIES,, $175.00 
41,SCOPE,ENDOSCOPIC EXAMINATION OF UPPER AIRWAY,VETERINARY DIAGNOSTIC PROCEDURES OTHER,, $50.00 
64,TUCOL,EXAM,VETERINARY MEDICATIONS DISPENSED ORAL MEDICATION, DISPENSE LARGE CONTAINER OF TUCOPRIM, $180.00 
66,DBB15,EXAM,VETERINARY MEDICATIONS DISPENSED VITAMINS, DISPENSE TREATMENT WITH ONE BOTTLE OF B-15, $20.00 
92,PGP,FLUSH GUTTURAL POUCHES WITH ANTIBIOTICS AND FLUIDS,VETERINARY VET. PROCEDURES & SERVICES OTHER,, $30.00 
93,FNLD,FLUSH NASOLACRIMAL DUCT,VETERINARY VET. PROCEDURES & SERVICES OTHER,, $15.00 
95,BAND,BANDAGE LEG,VETERINARY VET. PROCEDURES & SERVICES BANDAGING,, $60.00 
